region,number_of_people,monthly_usage_liters
Rural,4,13935
Suburban,1,3249
Urban,2,5694
Rural,4,14184
Urban,2,5419
Suburban,2,6054
Suburban,3,9483
Urban,4,11183
Suburban,2,6186
Suburban,2,6181
Suburban,4,12204
Suburban,5,15424
Rural,2,6844
Suburban,6,18571
Suburban,4,12352
Urban,3,8394
Suburban,2,6148
Rural,3,10593
Urban,1,2971
Rural,6,20856
Urban,2,5792
Suburban,1,3151
Suburban,2,6185
Urban,4,11118
Rural,4,13993
Urban,6,16996
Urban,4,11322
Suburban,4,12311
Rural,6,20862
Suburban,4,12368
Rural,2,6941
Urban,3,8484
Suburban,2,6361
Suburban,6,18746
Suburban,4,12262
Rural,3,10608
Urban,1,2640
Rural,2,6940
Rural,6,21199
Suburban,1,3043
Suburban,4,12552
Urban,4,11283
Rural,2,6915
Urban,2,5581
Urban,6,16961
Urban,6,16998
Rural,4,14162
Urban,2,5720
Suburban,4,12276
Rural,1,3310
Rural,2,6989
Suburban,1,3256
Urban,1,2637
Suburban,5,15343
Suburban,2,6138
Urban,3,8213
Urban,2,5763
Rural,5,17479
Rural,6,20945
Urban,3,8368
Suburban,6,18543
Rural,3,10542
Rural,5,17568
Rural,4,14146
Suburban,4,12540
Suburban,3,9254
Rural,4,13944
Urban,3,8556
Rural,2,6978
Suburban,5,15580
Suburban,3,9472
Urban,3,8431
Suburban,4,12541
Urban,6,16788
Rural,3,10442
Rural,3,10309
Urban,5,13857
Suburban,6,18601
Rural,6,20917
Urban,2,5489
Urban,3,8243
Rural,3,10667
Rural,5,17698
Urban,6,16648
Rural,3,10447
Suburban,6,18617
Suburban,3,9114
Suburban,2,6165
Urban,2,5561
Rural,3,10457
Urban,3,8349
Rural,4,14146
Rural,3,10366
Urban,3,8406
Rural,4,14158
Rural,2,6843
Rural,4,14178
Rural,5,17593
Suburban,3,9409
Suburban,4,12568
Urban,4,11216
Rural,1,3545
Rural,2,7057
Suburban,4,12445
Urban,2,5416
Urban,1,2879
Urban,3,8379
Rural,6,20998
Suburban,4,12322
Suburban,3,9195
Suburban,5,15504
Urban,1,2676
Rural,4,14147
Suburban,3,9331
Rural,4,13828
Suburban,6,18551
Suburban,4,12554
Suburban,1,3251
Suburban,2,6188
Rural,4,14077
Urban,2,5774
Suburban,6,18650
Urban,1,2731
Rural,4,14012
Rural,3,10678
Urban,1,2854
Urban,2,5571
Suburban,6,18460
Suburban,3,9375
Urban,5,13867
Suburban,5,15364
Suburban,3,9458
Urban,1,2913
Rural,4,13965
Urban,1,2913
Rural,6,21176
Rural,4,13805
Rural,2,6946
Urban,6,16671
Suburban,4,12413
Urban,6,16941
Urban,5,13838
Urban,1,2637
Suburban,5,15405
Rural,5,17314
Suburban,3,9115
Suburban,5,15408
Rural,5,17482
Suburban,6,18728
Rural,1,3332
Rural,5,17477
Urban,4,11117
Urban,6,16806
Rural,6,21126
Rural,4,13920
Rural,4,14121
Suburban,4,12467
Suburban,1,3052
Suburban,5,15333
Suburban,3,9481
Rural,6,21159
Urban,4,11056
Rural,6,21091
Suburban,4,12596
Urban,5,14041
Rural,4,14075
Rural,4,13962
Urban,1,2743
Suburban,4,12240
Suburban,4,12372
Suburban,5,15305
Urban,1,2965
Suburban,5,15544
Rural,5,17422
Urban,2,5522
Rural,1,3561
Urban,5,14132
Rural,6,21138
Rural,4,13949
Suburban,5,15692
Urban,2,5648
Urban,4,11391
Rural,6,21124
Rural,3,10614
Rural,5,17337
Urban,1,2790
Rural,5,17605
Rural,6,20921
Rural,3,10449
Suburban,2,6289
Rural,2,7147
Urban,5,13913
Rural,1,3434
Rural,5,17550
Urban,3,8372
Rural,2,6992
Urban,2,5484
Rural,6,20814
Suburban,6,18689
Suburban,1,3021
